,Name,Symbol,APY (1y),APY (5y)
114,TeamViewer AG,TMV.F,0.0,
53,Metro AG,B4B.F,0.0,5.309644392179393
99,Nordex SE,NDX1.F,0.0,0.0
32,Delivery Hero SE,DHER.F,0.0,0.0
31,CTS Eventim AG & Co. KGaA,EVD.F,0.0,0.5972369389031268
121,Flatexdegiro AG,FTK.F,0.0,0.0
54,MorphoSys AG,MOR.F,0.0,0.0
30,Commerzbank AG,CBK.F,0.0,1.588762186355826
90,HelloFresh SE,HFG.F,0.0,0.0
126,VERBIO Vereinigte BioEnergie AG,VBVBF,0.0,
24,thyssenkrupp AG,TKA.F,0.0,0.36949350503955913
35,1&1 Drillisch AG,DRI.F,,
109,XING AG,O1BC.F,,
118,Ceconomy AG,CEC1.F,,
147,Kontron S&T AG,KBC.F,,
